lens,subjectivity,com,polarity,JJ,VB,NN,NNP,VBD,VBP,JJR,RB,WP,JJS,IN,NNS,VBZ,MD,FW,CD,VBN,VBG,DT,PRP,RBR,CC,RBS,WDT,RP,WRB,TO,UH,SYM
122,0.3214285714285714,0.0,0.0,2,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
68,0.0,0.0,0.0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
291,0.615625,0.0516,1.0,7,1,14,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
185,0.5,-0.2235,-1.0,5,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
356,0.1785714285714285,0.743,1.0,2,1,19,1,0,1,0,2,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0.0
355,0.4399999999999999,0.8176,1.0,6,2,13,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
319,0.4958333333333334,0.8625,1.0,7,0,15,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
247,0.5666666666666668,0.8655,1.0,2,0,6,0,1,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
67,0.75,0.6705,1.0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
267,0.3,0.6705,1.0,4,1,17,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
802,0.3205128205128205,0.9144,1.0,13,2,28,0,0,4,1,5,0,3,2,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0
364,0.68125,-0.2993,-1.0,12,0,10,0,0,6,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
556,0.4298611111111111,0.9697,1.0,14,2,25,0,0,4,0,3,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
210,0.6071428571428571,0.128,1.0,4,0,6,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
20,0.0,-0.4019,-1.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
193,0.25,0.0,0.0,4,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
90,0.6599999999999999,0.5719,1.0,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
68,0.0833333333333333,0.0,0.0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
40,0.0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,0.6499999999999999,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,0.4681818181818182,0.7964,1.0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,0.0,0.0,0.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
475,0.2176190476190476,-0.4597,-1.0,13,2,25,0,1,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
128,0.0,0.5499,1.0,2,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
443,0.5,0.8237,1.0,4,0,23,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0
394,0.5022005772005772,0.0498,1.0,6,5,12,0,0,1,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
960,0.6573498964803314,0.662,1.0,23,3,38,0,2,9,2,6,0,0,3,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
136,0.25,0.0,0.0,1,1,7,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
535,0.4055555555555556,0.9393,1.0,13,3,21,0,0,4,0,2,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
454,0.3638888888888889,0.8979,1.0,12,3,11,0,1,3,0,4,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
